
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
23-06-2020;  7;19;20;27;35;44;21;8;(2/4);'11211';(3/3);
22-06-2020;  1; 3; 7;10;11;49; 5;8;(1/5);'32001';(5/1);
20-06-2020;  2;12;14;16;17;49;18;9;(4/2);'14001';(5/1);
19-06-2020;  6;13;22;35;36;47;20;6;(3/3);'11121';(3/3);
18-06-2020;  2; 3;11;13;37;48;42;1;(2/4);'22011';(4/2);
17-06-2020;  9;18;26;36;42;43;28;8;(4/2);'11112';(2/4);
16-06-2020; 10;14;15;17;26;45; 6;8;(3/3);'04101';(4/2);
15-06-2020;  3; 4;14;15;28;32;43;5;(4/2);'22110';(4/2);
13-06-2020;  6; 8;26;32;40;46;42;3;(6/0);'20112';(2/4);
12-06-2020; 19;20;21;22;26;30; 3;9;(4/2);'01410';(4/2);
11-06-2020; 14;16;23;29;34;35; 5;4;(3/3);'02220';(3/3);
10-06-2020;  8;11;17;32;41;42;34;8;(3/3);'12012';(3/3);
 9-06-2020;  2;11;12;22;24;35;33;5;(4/2);'12210';(5/1);
 8-06-2020;  6; 8;34;43;45;49;44;5;(3/3);'20013';(2/4);
 6-06-2020; 23;24;30;39;43;48; 2;0;(3/3);'00222';(2/4);
 5-06-2020; 13;17;19;24;36;39;45;9;(2/4);'03120';(4/2);
 4-06-2020;  2; 4;17;23;29;48;24;7;(3/3);'21201';(4/2);
 3-06-2020;  8;20;22;34;35;42; 6;5;(5/1);'10221';(3/3);
 2-06-2020; 12;21;29;30;33;36;28;6;(3/3);'01230';(2/4);
 1-06-2020;  1; 4;26;29;33;41;34;3;(2/4);'20211';(2/4);
30-05-2020;  4;13;14;35;40;42; 1;1;(4/2);'12012';(3/3);
29-05-2020;  4;13;17;34;41;46;39;4;(3/3);'12012';(3/3);
28-05-2020;  1; 4; 9;31;32;43;21;9;(2/4);'30021';(3/3);
27-05-2020;  6;15;22;23;29;30;17;3;(3/3);'11310';(4/2);
26-05-2020; 21;23;28;37;42;44;40;7;(3/3);'00312';(2/4);
25-05-2020;  4;13;15;18;19;46;16;2;(3/3);'14001';(5/1);
14-03-2020; 14;18;25;28;40;41;34;2;(4/2);'02202';(3/3);
13-03-2020;  9;14;15;16;25;42;31;0;(3/3);'13101';(5/1);
12-03-2020; 13;15;25;29;35;48;12;6;(1/5);'02211';(3/3);
11-03-2020; 13;17;18;21;37;41;29;9;(1/5);'03111';(4/2);
10-03-2020;  4; 7;11;12;20;27;36;0;(3/3);'22200';(5/1);
 9-03-2020; 10;13;14;19;36;43;18;3;(3/3);'04011';(4/2);
 7-03-2020; 14;24;31;39;41;48; 5;6;(3/3);'01122';(2/4);
 6-03-2020; 14;18;20;34;35;38;10;8;(5/1);'02130';(3/3);
 5-03-2020;  4; 7;12;35;38;40; 8;1;(4/2);'21021';(3/3);
 4-03-2020;  3; 5;20;30;32;44; 6;3;(4/2);'20121';(3/3);
 3-03-2020;  2;18;26;36;42;49; 6;0;(5/1);'11112';(2/4);
 2-03-2020;  4; 8;10;13;22;23;43;1;(4/2);'22200';(6/0);
29-02-2020;  5; 8;13;43;45;46;44;8;(2/4);'21003';(3/3);
28-02-2020; 18;20;31;32;45;46;22;0;(4/2);'01122';(2/4);
27-02-2020; 12;17;18;24;27;43;38;4;(3/3);'03201';(4/2);
26-02-2020;  3;24;28;34;36;46;25;6;(5/1);'10221';(2/4);
25-02-2020;  5;19;26;32;39;46;18;8;(3/3);'11121';(2/4);
24-02-2020; 10;21;27;28;39;46; 3;3;(3/3);'01311';(2/4);
22-02-2020;  2;14;26;37;45;49;33;2;(3/3);'11112';(2/4);
21-02-2020;  5; 7;11;25;26;35;43;2;(1/5);'21210';(4/2);
20-02-2020;  1; 5; 8;10;37;42;29;1;(3/3);'31011';(4/2);
19-02-2020; 21;30;31;36;41;48; 4;8;(3/3);'00132';(1/5);
18-02-2020; 10;17;29;32;35;46;36;4;(3/3);'02121';(2/4);
17-02-2020; 16;29;39;40;44;48;47;9;(4/2);'01113';(1/5);
15-02-2020;  2; 6; 7;35;36;45;48;9;(3/3);'30021';(3/3);
14-02-2020;  4; 9;14;15;18;45;38;5;(3/3);'23001';(5/1);
13-02-2020;  1; 5; 9;14;28;42;18;3;(3/3);'31101';(4/2);
12-02-2020;  3; 7;11;34;38;45;19;2;(2/4);'21021';(3/3);
11-02-2020;  5;14;17;32;45;46;48;6;(3/3);'12012';(3/3);
10-02-2020; 12;14;15;24;39;47;30;7;(3/3);'03111';(4/2);
 8-02-2020;  9;11;26;33;42;49; 5;4;(2/4);'11112';(2/4);
 7-02-2020; 11;15;18;23;33;45;27;8;(1/5);'03111';(4/2);
 6-02-2020;  4;11;17;20;45;47;31;8;(2/4);'12102';(4/2);
 5-02-2020;  3; 8;20;43;48;49;10;6;(3/3);'20103';(3/3);
 4-02-2020; 11;15;18;23;32;34;21;5;(3/3);'03120';(4/2);
 3-02-2020;  6;13;15;24;32;42; 8;1;(4/2);'12111';(4/2);
 1-02-2020;  7;23;28;42;44;46;47;3;(4/2);'10203';(2/4);
31-01-2020;  6;13;22;27;37;43;10;0;(2/4);'11211';(3/3);
30-01-2020; 28;30;33;35;36;42;46;3;(4/2);'00141';(0/6);
29-01-2020; 21;24;38;41;42;48;19;6;(4/2);'00213';(2/4);
28-01-2020;  1; 7; 8;37;44;46;42;6;(3/3);'30012';(3/3);
